Date,Temperature,Precipitation
1836-01-01,-19.825099999999964,0.702
1836-01-02,-21.331999999999965,0.4968
1836-01-03,-21.60299999999998,0.4535999999999999
1836-01-04,-22.79479999999998,0.3348
1836-01-05,-23.35469999999998,0.3995999999999999
1836-01-06,-25.850599999999982,0.2915999999999999
1836-01-07,-27.14809999999997,0.3887999136
1836-01-08,-27.129399999999976,0.3995999999999999
1836-01-09,-24.550099999999983,0.2807999136
1836-01-10,-21.61729999999997,0.216
1836-01-11,-16.583699999999965,0.6263999136
1836-01-12,-14.1241,0.9288
1836-01-13,-15.7808,0.6587999136
1836-01-14,-16.227499999999964,1.0476
1836-01-15,-14.248400000000004,1.1124
1836-01-16,-10.316299999999956,1.6632
1836-01-17,-13.055499999999997,1.1772
1836-01-18,-15.769999999999982,0.8424000864
1836-01-19,-14.906199999999956,0.5616
1836-01-20,-13.553499999999984,0.3995999999999999
1836-01-21,-12.49109999999996,0.5184000864
1836-01-22,-11.881399999999983,0.6587999999999999
1836-01-23,-12.991600000000004,0.6587999999999999
1836-01-24,-14.981799999999964,0.9072
1836-01-25,-16.237799999999993,0.8856
1836-01-26,-13.640899999999988,0.918
1836-01-27,-10.61329999999998,0.8099999999999999
1836-01-28,-9.377399999999966,0.6048
1836-01-29,-9.297699999999963,1.1448
1836-01-30,-9.67689999999999,1.1988
1836-01-31,-9.89609999999999,1.9008
1836-02-01,-13.37869999999998,1.5012
1836-02-02,-15.163899999999956,1.2312
1836-02-03,-18.14719999999997,1.1448
1836-02-04,-19.74909999999997,0.918
1836-02-05,-18.47259999999997,1.1448
1836-02-06,-16.74539999999996,0.9504
1836-02-07,-14.844599999999955,1.08
1836-02-08,-15.467299999999966,0.9612
1836-02-09,-15.342799999999954,1.1016
1836-02-10,-14.347999999999956,1.026
1836-02-11,-12.855899999999965,1.026
1836-02-12,-12.23879999999997,1.0584
1836-02-13,-12.25989999999996,0.9936
1836-02-14,-12.261300000000006,0.6804
1836-02-15,-11.396599999999978,0.8964
1836-02-16,-10.98819999999995,0.7884
1836-02-17,-10.7337,1.026
1836-02-18,-10.471900000000003,1.0152
1836-02-19,-8.75019999999995,1.1124
1836-02-20,-7.237999999999999,1.4472
1836-02-21,-6.796099999999967,1.134
1836-02-22,-6.359399999999994,1.1664
1836-02-23,-8.050399999999968,0.9288
1836-02-24,-5.526099999999985,1.3392000000000002
1836-02-25,-4.944899999999961,1.458
1836-02-26,-7.436199999999985,1.9764
1836-02-27,-16.60609999999997,1.026
1836-02-28,-19.99229999999997,0.54
1836-02-29,-18.29939999999999,0.6911999999999999
1836-03-01,-13.945899999999996,0.8856
1836-03-02,-11.839099999999974,1.3824
1836-03-03,-13.718999999999994,1.2528
1836-03-04,-8.572000000000003,3.3048
1836-03-05,-13.384500000000005,1.7712
1836-03-06,-18.06159999999997,0.8640000000000001
1836-03-07,-12.40799999999996,1.8036
1836-03-08,-7.592499999999973,2.2788
1836-03-09,-7.317199999999957,2.7432
1836-03-10,-15.010099999999966,1.4148
1836-03-11,-19.19629999999998,0.9288
1836-03-12,-15.559499999999955,1.5336
1836-03-13,-11.140199999999991,1.9764
1836-03-14,-6.529099999999971,2.5272
1836-03-15,-4.70599999999996,3.0024
1836-03-16,-6.626699999999971,3.0996
1836-03-17,-8.905999999999949,1.9008
1836-03-18,-5.701599999999985,2.3004
1836-03-19,-4.141300000000001,2.1924
1836-03-20,-5.271999999999991,1.5444
1836-03-21,-9.67009999999999,1.0044
1836-03-22,-7.290300000000002,1.836
1836-03-23,-3.1544999999999845,2.052
1836-03-24,-1.7618999999999687,2.592
1836-03-25,-0.6614999999999895,2.3544
1836-03-26,-4.522699999999986,2.5056
1836-03-27,-8.647299999999973,1.7171999999999998
1836-03-28,-9.895399999999997,1.5876
1836-03-29,-11.829700000000004,1.188
1836-03-30,-9.446799999999996,1.4472
1836-03-31,-7.940999999999974,2.3436
1836-04-01,-10.33529999999996,1.566
1836-04-02,-12.01079999999996,0.9288
1836-04-03,-11.984899999999982,1.1124
1836-04-04,-11.290499999999952,0.8424000864
1836-04-05,-9.493499999999983,0.9396
1836-04-06,-6.36239999999998,1.1556
1836-04-07,-4.115899999999954,1.674
1836-04-08,-7.230399999999975,1.7496
1836-04-09,-8.877899999999954,1.026
1836-04-10,-6.107599999999991,1.9548
1836-04-11,-7.178799999999967,1.9224
1836-04-12,-9.728999999999983,1.6848
1836-04-13,-11.026299999999992,1.2204
1836-04-14,-10.337599999999952,0.8424000864
1836-04-15,-9.20169999999996,1.2204
1836-04-16,-9.444699999999957,1.4904
1836-04-17,-10.87089999999995,1.2636
1836-04-18,-12.88409999999999,0.7992000864000001
1836-04-19,-12.500399999999956,0.5507999136
